StoreID,StoreName,CategoryID,CategoryName,PostalCode,Address,Phone,Rating,ReviewCount,DeliveryTimeMin,DeliveryTimeMax,MinimumOrder,DeliveryFee,ImageURL,IsOpen,OpenTime,CloseTime,Description,Tags
S001,南部市場 海鮮直送 魚清,1,海鮮・寿司,236-0002,神奈川県横浜市金沢区鳥浜町1-1 南部市場内,045-771-0001,4.6,128,25,40,1000,200,https://placehold.co/400x300?text=魚清,TRUE,10:00,20:00,南部市場の鮮魚を使った海鮮丼・寿司を提供。仲卸直営の新鮮さが自慢。,海鮮丼;寿司;鮮魚
S002,南部市場食堂 なんぶ亭,2,定食・弁当,236-0002,神奈川県横浜市金沢区鳥浜町1-1 南部市場内,045-771-0002,4.3,87,20,35,800,150,https://placehold.co/400x300?text=なんぶ亭,TRUE,06:00,15:00,市場の朝から営業する定食屋。新鮮な食材を使った家庭的な味。,定食;弁当;朝食
S003,横浜金沢ラーメン 波濤,3,ラーメン・麺類,236-0053,神奈川県横浜市金沢区能見台通45-12,045-771-0003,4.4,203,30,45,700,200,https://placehold.co/400x300?text=波濤,TRUE,11:00,22:00,横浜家系ラーメンと海鮮スープを融合させた独自のスタイル。,ラーメン;家系;横浜
S004,焼肉 金沢苑,4,焼肉・BBQ,236-0053,神奈川県横浜市金沢区能見台通31-5,045-771-0004,4.2,56,35,50,2000,300,https://placehold.co/400x300?text=金沢苑,TRUE,17:00,23:00,厳選国産牛を使った焼肉弁当・プレートを出前提供。,焼肉;国産牛;弁当
S005,中華料理 福満楼,5,中華料理,236-0053,神奈川県横浜市金沢区能見台東5-1,045-771-0005,4.1,145,25,40,800,200,https://placehold.co/400x300?text=福満楼,TRUE,11:00,21:30,本格中華料理。横浜中華街の味を金沢区で。,中華;ラーメン;餃子
S006,カフェ&ダイニング シーサイド,6,洋食・カフェ,236-0025,神奈川県横浜市金沢区釜利谷東3-2-15,045-771-0006,4.5,92,30,45,1000,200,https://placehold.co/400x300?text=シーサイド,TRUE,09:00,20:00,八景島近くのカフェ。パスタ・サンドイッチ・スイーツを提供。,カフェ;パスタ;洋食
S007,天ぷら処 金沢,7,天ぷら・揚げ物,236-0002,神奈川県横浜市金沢区鳥浜町1-5,045-771-0007,4.3,74,25,40,900,150,https://placehold.co/400x300?text=天ぷら処,TRUE,11:00,20:00,南部市場の新鮮な食材を使った天ぷら弁当。,天ぷら;揚げ物;弁当
S008,海鮮丼 みなみ,1,海鮮・寿司,236-0002,神奈川県横浜市金沢区鳥浜町2-3,045-771-0008,4.7,316,20,35,1200,0,https://placehold.co/400x300?text=みなみ,TRUE,10:00,19:00,市場直結の海鮮丼専門店。1000円以上送料無料。,海鮮丼;マグロ;市場直結
S009,とんかつ 金澤屋,2,定食・弁当,236-0052,神奈川県横浜市金沢区富岡西4-14-20,045-771-0009,4.2,108,30,45,900,200,https://placehold.co/400x300?text=金澤屋,TRUE,11:00,21:00,サクサクのとんかつ定食・弁当。地元に愛される老舗。,とんかつ;定食;揚げ物
S010,横浜家系 八景家,3,ラーメン・麺類,236-0021,神奈川県横浜市金沢区泥亀1-24-5,045-771-0010,4.5,289,25,40,600,150,https://placehold.co/400x300?text=八景家,TRUE,11:00,24:00,本格横浜家系ラーメン。濃厚豚骨醤油スープが絶品。,ラーメン;家系;豚骨
S011,インド料理 スパイス南部,8,その他,236-0053,神奈川県横浜市金沢区能見台通60-1,045-771-0011,4.0,43,35,50,800,200,https://placehold.co/400x300?text=スパイス南部,TRUE,11:30,22:00,本格インドカレー・ナン。シェフ直伝のスパイスが決め手。,カレー;インド料理;ナン
S012,鮮魚居酒屋 磯風,1,海鮮・寿司,236-0025,神奈川県横浜市金沢区釜利谷東1-4-8,045-771-0012,4.4,67,30,45,1500,250,https://placehold.co/400x300?text=磯風,TRUE,17:00,23:00,居酒屋メニューを出前対応。お刺身・焼き魚・煮魚セット。,居酒屋;刺身;焼き魚
