OrderItemID,OrderID,ItemID,ItemName,StoreID,Quantity,UnitPrice,Subtotal
OI001,ORD001,M001,まぐろ海鮮丼,S001,1,1480,1480
OI002,ORD001,M005,サーモン丼,S001,1,1280,1280
OI003,ORD001,M037,あら汁,S008,1,200,200
OI004,ORD002,M011,横浜家系風ラーメン,S003,1,850,850
OI005,ORD002,M015,ラーメン+餃子セット,S003,1,1100,1100
OI006,ORD003,M042,横浜家系ラーメン（並）,S010,1,800,800
OI007,ORD003,M046,ラーメン+チャーハンセット,S010,1,1100,1100
OI008,ORD004,M034,極上海鮮丼,S008,2,2500,5000
OI009,ORD004,M037,あら汁,S008,1,200,200
OI010,ORD004,M037,あら汁,S008,1,180,180
OI011,ORD005,M010,朝定食,S002,2,580,1160
OI012,ORD005,M009,唐揚げ弁当,S002,1,680,680
OI013,ORD006,M025,ボロネーゼ,S006,1,1100,1100
OI014,ORD006,M028,チーズケーキセット,S006,1,850,850
