ItemID,StoreID,CategoryName,ItemName,Description,Price,ImageURL,IsAvailable,IsPopular,IsRecommended,Allergens,CalorieKcal
M001,S001,海鮮丼,まぐろ海鮮丼,南部市場直送のマグロ・サーモン・いくら・ほたて入り海鮮丼,1480,https://placehold.co/300x200?text=まぐろ海鮮丼,TRUE,TRUE,TRUE,魚・卵,620
M002,S001,海鮮丼,特上海鮮丼,その日の仕入れ最高鮮度ネタを贅沢に盛り合わせ,2200,https://placehold.co/300x200?text=特上海鮮丼,TRUE,FALSE,TRUE,魚・卵,750
M003,S001,寿司,握り寿司 特上10貫,厳選ネタ10貫セット（マグロ・サーモン・ハマチ・タコ・海老・いくら・ウニ他）,2800,https://placehold.co/300x200?text=握り寿司特上,TRUE,TRUE,FALSE,魚・甲殻類・卵,680
M004,S001,寿司,ちらし寿司,季節のネタを彩りよく盛り付けたちらし寿司,1800,https://placehold.co/300x200?text=ちらし寿司,TRUE,FALSE,FALSE,魚・卵,580
M005,S001,単品,サーモン丼,肉厚サーモンたっぷり丼,1280,https://placehold.co/300x200?text=サーモン丼,TRUE,TRUE,FALSE,魚,550
M006,S002,定食,焼き魚定食,南部市場仕入れの干物を使った焼き魚定食（ご飯・味噌汁・漬物付き）,850,https://placehold.co/300x200?text=焼き魚定食,TRUE,TRUE,TRUE,魚・小麦・大豆,520
M007,S002,定食,肉じゃが定食,ほっとする家庭の味 肉じゃが定食,780,https://placehold.co/300x200?text=肉じゃが定食,TRUE,FALSE,FALSE,小麦・大豆,490
M008,S002,弁当,海鮮幕の内弁当,刺身・焼き魚・煮物・揚げ物入りの贅沢幕の内,1100,https://placehold.co/300x200?text=海鮮幕の内,TRUE,TRUE,FALSE,魚・小麦・卵・大豆,640
M009,S002,弁当,唐揚げ弁当,ジューシーな唐揚げ5個弁当（ご飯・サラダ付き）,680,https://placehold.co/300x200?text=唐揚げ弁当,TRUE,TRUE,FALSE,小麦・卵・大豆,720
M010,S002,朝食,朝定食,ご飯・味噌汁・焼き魚・卵・漬物のシンプル朝定食,580,https://placehold.co/300x200?text=朝定食,TRUE,FALSE,TRUE,魚・卵・大豆,380
M011,S003,ラーメン,横浜家系風ラーメン,豚骨醤油ベースに海鮮の旨味をプラスしたオリジナルスープ,850,https://placehold.co/300x200?text=家系風ラーメン,TRUE,TRUE,TRUE,小麦・大豆・豚,680
M012,S003,ラーメン,海鮮塩ラーメン,鯛だし・昆布・ホタテの旨味たっぷり塩スープ,900,https://placehold.co/300x200?text=海鮮塩ラーメン,TRUE,FALSE,TRUE,小麦・魚・大豆,590
M013,S003,ラーメン,辛味噌ラーメン,濃厚味噌スープに辛味噌をトッピング,880,https://placehold.co/300x200?text=辛味噌ラーメン,TRUE,TRUE,FALSE,小麦・大豆,650
M014,S003,つけ麺,海鮮つけ麺,濃厚魚介つけ汁で食べる太麺つけ麺,950,https://placehold.co/300x200?text=海鮮つけ麺,TRUE,FALSE,FALSE,小麦・魚・大豆,710
M015,S003,セット,ラーメン+餃子セット,お好みのラーメンに餃子6個付き,1100,https://placehold.co/300x200?text=ラーメン餃子,TRUE,TRUE,FALSE,小麦・大豆・豚,890
M016,S004,焼肉,焼肉弁当 並,国産牛カルビ・バラ肉使用 焼肉弁当,1200,https://placehold.co/300x200?text=焼肉弁当並,TRUE,TRUE,FALSE,牛・小麦・大豆,850
