ProductID,Category,Name,Emoji,Description,PriceS,PriceM,PriceL,Price,Tag
margherita,Pizza,マルゲリータ,🍕,トマトソース・モッツァレラ・フレッシュバジル。定番の王道。,1280,1780,2280,0,定番
marinara,Pizza,マリナーラ,🍅,ナポリ伝統。トマト・ガーリック・オレガノ・EXVオリーブオイル。,1180,1680,2180,0,ヴィーガン可
quattro,Pizza,クアトロフォルマッジ,🧀,4種のチーズと蜂蜜。濃厚な味わい。,1580,2180,2780,0,
diavola,Pizza,ディアボラ,🌶️,スパイシーサラミと唐辛子で大人の辛さ。,1480,1980,2580,0,ピリ辛
prosciutto,Pizza,プロシュート・ルッコラ,🥬,生ハムとルッコラ・パルミジャーノを贅沢に。,1680,2280,2880,0,
seafood,Pizza,横浜シーフード,🦐,海老・帆立・イカと自家製トマトソース。横浜港から直送。,1780,2380,2980,0,人気
bianca,Pizza,ビアンカ,🤍,リコッタ・モッツァレラ・ローズマリー。白いピッツァ。,1380,1880,2380,0,
minato,Pizza,みなとみらい特製,🌊,ベイブリッジに浮かぶ夕焼けをイメージしたシェフのおまかせ。,1880,2480,3080,0,限定
garlic-bread,Side,ガーリックブレッド,🥖,自家製パンに香ばしいガーリックバター。,0,0,0,580,
caesar-salad,Side,シーザーサラダ,🥗,ロメインレタス・クルトン・パルミジャーノ。,0,0,0,780,
fries,Side,ローズマリーポテト,🍟,ローズマリーと岩塩で味付けしたフライドポテト。,0,0,0,580,
wings,Side,スパイシーチキンウィング,🍗,ピリ辛味付けの骨付きチキン6本。,0,0,0,880,
cola,Drink,コカ・コーラ,🥤,500mlペットボトル。,0,0,0,280,
ginger,Drink,ジンジャーエール,🍹,辛口ジンジャー。,0,0,0,320,
beer,Drink,ハートランドビール,🍺,330ml瓶。20歳以上限定。,0,0,0,580,20歳以上
wine,Drink,ハウスワイン（赤）,🍷,グラス150ml。20歳以上限定。,0,0,0,680,20歳以上
lemonade,Drink,湘南レモネード,🍋,ノンアルコール・無添加レモネード。,0,0,0,420,
tiramisu,Dessert,ティラミス,🍰,本格マスカルポーネ使用。,0,0,0,680,
panna-cotta,Dessert,パンナコッタ,🍮,ベリーソース添え。,0,0,0,580,
gelato,Dessert,ジェラート（バニラ）,🍨,イタリア産バニラビーンズ使用。,0,0,0,480,
